ID,PARTITION,STATUS,MLST_1,YEAR,MONTH,DAY,blaADC-30,blaOXA-237_blaOXA-134-like,blaOXA-66_blaOXA-51-like,blaTEM-1D_1,blaADC-56,blaOXA-82_1_blaOXA-51-like,blaADC-73,blaOXA-23_blaOXA-23-like,blaOXA-237,blaOXA-66,blaOXA-23,blaNDM-1
sample98,10,,ST2535-PARALOG;ST1697,2023,9,30,1,0,1,0,0,0,0,1,0,0,0,1
sample99,1,,ST208;ST1806-PARALOG,2023,12,10,0,1,1,1,1,0,0,0,0,0,0,0
sample100,1,,ST208;ST1806-PARALOG,2023,12,21,0,1,1,1,1,0,0,0,0,0,0,0
sample101,1,,ST208;ST1806-PARALOG,2024,2,26,1,1,1,1,0,0,0,0,0,0,0,0
sample102,1,,ST208;ST1806-PARALOG,2024,2,28,1,0,1,0,0,0,0,0,0,0,0,0
sample103,1,,ST208;ST1806-PARALOG,2024,4,18,1,1,1,1,0,0,0,0,0,0,0,0
sample104,11,,ST2807-PARALOG;ST2026,2024,4,30,1,0,1,0,0,0,0,1,0,0,0,1
sample105,1,,ST208;ST1806-PARALOG,2024,5,6,0,1,1,1,1,0,0,0,0,0,0,0
sample106,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample107,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample108,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample109,3,NEW,,2024,7,13,0,0,0,0,0,0,0,0,0,0,0,0
sample110,1,NEW,ST208;ST1806-PARALOG,2024,8,1,1,1,1,1,0,0,0,0,0,0,0,0
